id,category,item,price,rating,reviews,url
B0CQMRKRV5,Amazon Devices & Accessories,"Amazon Fire TV Stick HD (newest model), free and live TV, Alexa Voice Remote, smart home controls, HD streaming4.6 out of 5 stars13,8401 offer from$19.99",Not Found,4.6 out of 5 stars,"13,840",https://www.amazon.com/product-reviews/B0CQMRKRV5/ref=zg_bs_g_amazon-devices_d_sccl_1_cr/000-1042540-5283984
B0CJM1GNFQ,Amazon Devices & Accessories,"Amazon Fire TV Stick 4K (newest model) with AI-powered Fire TV Search, Wi-Fi 6, stream over 1.5 million movies and shows, free & live TV4.7 out of 5 stars64,8791 offer from$29.99",Not Found,4.7 out of 5 stars,"64,879",https://www.amazon.com/product-reviews/B0CJM1GNFQ/ref=zg_bs_g_amazon-devices_d_sccl_2_cr/000-1042540-5283984
B0BP9SNVH9,Amazon Devices & Accessories,"Amazon Fire TV Stick 4K Max streaming device (newest model) supports Wi-Fi 6E, free & live TV without cable or satellite4.6 out of 5 stars51,0861 offer from$39.99",Not Found,4.6 out of 5 stars,"51,086",https://www.amazon.com/product-reviews/B0BP9SNVH9/ref=zg_bs_g_amazon-devices_d_sccl_3_cr/000-1042540-5283984
B0BZWRLRLK,Amazon Devices & Accessories,"Ring Battery Doorbell, Head-to-Toe Video, Live View with Two-Way Talk, and Motion Detection & Alerts (2024 release), Venetian Bronze4.6 out of 5 stars11,5222 offers from$74.99",Not Found,4.6 out of 5 stars,"11,522",https://www.amazon.com/product-reviews/B0BZWRLRLK/ref=zg_bs_g_amazon-devices_d_sccl_4_cr/000-1042540-5283984
B08F6GPQQ7,Amazon Devices & Accessories,"Ring Floodlight Cam Wired Plus with motion-activated 1080p HD video, White (2021 release)4.7 out of 5 stars37,5811 offer from$119.99",Not Found,4.7 out of 5 stars,"37,581",https://www.amazon.com/product-reviews/B08F6GPQQ7/ref=zg_bs_g_amazon-devices_d_sccl_5_cr/000-1042540-5283984
B0CFPJYX7P,Amazon Devices & Accessories,"All-new Amazon Kindle Paperwhite (16 GB) – Our fastest Kindle ever, with new 7"" glare-free display and weeks of battery life – Black4.6 out of 5 stars5,6661 offer from$159.99",Not Found,4.6 out of 5 stars,"5,666",https://www.amazon.com/product-reviews/B0CFPJYX7P/ref=zg_bs_g_amazon-devices_d_sccl_6_cr/000-1042540-5283984
B09JZ5BG26,Amazon Devices & Accessories,"Ring Spotlight Cam Plus, Battery | Two-Way Talk, Color Night Vision, and Security Siren (2022 release) - White4.5 out of 5 stars17,7544 offers from$89.99",Not Found,4.5 out of 5 stars,"17,754",https://www.amazon.com/product-reviews/B09JZ5BG26/ref=zg_bs_g_amazon-devices_d_sccl_7_cr/000-1042540-5283984
B0D9344TXC,Amazon Devices & Accessories,Ring Battery Doorbell with Ring Indoor Cam 2nd Gen (White)4.8 out of 5 stars4401 offer from$79.99,Not Found,4.8 out of 5 stars,440,https://www.amazon.com/product-reviews/B0D9344TXC/ref=zg_bs_g_amazon-devices_d_sccl_8_cr/000-1042540-5283984
B09L45VFCN,Amazon Devices & Accessories,"Ring Chime4.6 out of 5 stars43,3435 offers from$33.59",Not Found,4.6 out of 5 stars,"43,343",https://www.amazon.com/product-reviews/B09L45VFCN/ref=zg_bs_g_amazon-devices_d_sccl_9_cr/000-1042540-5283984
B08SGC46M9,Amazon Devices & Accessories,"Blink Video Doorbell + Sync Module 2 (newest model) — Two-way audio, HD video, two-year battery life, motion detection, chime app alerts, Works with Alexa (Black)4.2 out of 5 stars163,0061 offer from$69.99",Not Found,4.2 out of 5 stars,"163,006",https://www.amazon.com/product-reviews/B08SGC46M9/ref=zg_bs_g_amazon-devices_d_sccl_10_cr/000-1042540-5283984
